Billing Country,Billing State,Browser,Created By,Device Brand,Device Type,Email Permission,Email Status,Email Status Reason,Event Type,Order Source,Order Status,Os,Os Version,Payment Method,Segment,Updated By,Discounted Price,Item Count,Quantity,Shipping,Total Amount,Unit Price
Unknown,Unknown,Chrome,-31,Unknown,D,FALSE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,Unknown,-5,25500,1,1,0,43100,22000
Unknown,Unknown,Chrome,-31,Unknown,D,FALSE,A,Unknown,order,checkout,completed,Linux,Unknown,Pay with a Debit/Credit Card,Unknown,-5,22700,1,1,0,43100,20500
Unknown,Unknown,Chrome Mobile,-31,Infinix,M,FALSE,A,Unknown,order,checkout,completed,Android,9,Pay with a Debit/Credit Card or Online with Bank,customer,-5,11300,3,3,0,43000,2500
Unknown,Unknown,Chrome Mobile,-13,Samsung,M,FALSE,A,Unknown,order,checkout,completed,Android,10,Bank Transfer or Bank Deposit,customer,-5,500,1,1,0,43000,57000
Unknown,Unknown,Chrome Mobile,-13,Tecno,M,FALSE,A,Unknown,order,checkout,completed,Android,8,Pay with a Debit/Credit Card,Unknown,-5,24000,1,1,0,43000,23000
NG,Ogun,Unknown,-5,Unknown,Unknown,FALSE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,1795000,1000,1000,0,43000,1620
NG,Federal Capital Territory,Chrome Mobile,-5,Nokia,M,FALSE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,6820,2,2,1800,42800,18500
NG,Federal Capital Territory,Chrome Mobile,-5,Nokia,M,FALSE,A,Unknown,order,checkout,completed,Android,9,Bank Transfer or Bank Deposit,customer,-5,83860,4,4,0,42500,20500
Unknown,Unknown,Unknown,-31,Unknown,Unknown,TRUE,A,Unknown,order,checkout,cancelled,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,79500,3,1,0,42500,18500
Unknown,Unknown,Unknown,-31,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,Unknown,-5,3000,1,1,0,42400,3000
Unknown,Unknown,Unknown,-31,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,51500,1,1,0,42350,51500
Unknown,Unknown,Unknown,-31,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,customer,-5,79500,3,1,0,42300,18500
Unknown,Unknown,Unknown,-31,Unknown,Unknown,TRUE,A,Unknown,order,checkout,completed,Unknown,Unknown,Bank Transfer or Bank Deposit,subscriber,-5,81200,4,4,0,42250,19000
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,cancelled,Chrome OS,13729,Bank Transfer or Bank Deposit,customer,-5,49500,3,3,0,42150,15000
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Chrome OS,13729,Bank Transfer or Bank Deposit,customer,-5,93110,6,3,0,42000,14500
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Chrome OS,13729,Bank Transfer or Bank Deposit,customer,-5,108000,6,3,0,42000,15500
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Chrome OS,13729,Bank Transfer or Bank Deposit,customer,-5,500,5,5,0,42000,19500
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,Unknown,-5,2500,1,1,0,41800,2500
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,Unknown,-5,3000,1,1,0,41500,3000
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,Unknown,-5,1000,6,1,0,41500,42000
Unknown,Unknown,Chrome,-31,Unknown,D,TRUE,A,Unknown,order,checkout,completed,Windows,10,Bank Transfer or Bank Deposit,Unknown,-5,122000,110,30,0,41400,150
